"appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Roblox","Roblox lets you play, create, and be anything you can imagine.","100,000,000+",100000000,4.553597,6931135,3838409,true,true,"79M","4.4 and up","5360036014478858866","GAME_ADVENTURE","FAMILY_ACTION","Everyone 10+",true,"Jul 15, 2014",1552317469000,"2.375.284048","To make Roblox work better for you, we deliver updates regularly. These updates include bug fixes and improvements for speed and reliability. We’ll be sure to highlight any new features in this section when new features become available!","com.roblox.client","https://play.google.com/store/apps/details?id=com.roblox.client&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Love Poly - New puzzle game","A brand-new 3D puzzle + brain teaser game! Challenge your brain!","1,000,000+",1000000,4.4096513,17200,8940,true,true,"20M","4.1 and up","incolor","GAME_PUZZLE","FAMILY_BRAINGAMES","Everyone",true,"Feb 1, 2019",1552497525000,"1.0.6","Updates:<br>General bug fixes.","com.love.poly.puzzle.game","https://play.google.com/store/apps/details?id=com.love.poly.puzzle.game&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Tag with Ryan","Become Ryan from Ryan ToysReview and see how far you can go!","1,000,000+",1000000,4.221518,5521,2247,true,true,"42M","4.4 and up","5526536669105149839","GAME_CASUAL","FAMILY_ACTION","Everyone",true,"Dec 17, 2018",1548868907000,"1.1.0","Six NEW Ryan costumes added to the game!<br>- Officer Ryan<br>- Police Chief Ryan<br>- RARE SWAT Team Ryan<br>- Physicist Ryan<br>- Chemist Ryan<br>- Mathematician Ryan<br>Unlock the NEW vehicle -- Patrol Car -- to chase down Gus in the best runner ever!<br>Game improvements and bug fixes.","com.WildWorks.RyansTag","https://play.google.com/store/apps/details?id=com.WildWorks.RyansTag&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Super Bino Go - New Games 2019","Run, Jump and Smash everything with Bino New Adventure 2019 - Save the Princess","5,000,000+",5000000,4.3056455,18528,8872,true,true,"18M","4.1 and up","5015266578532322195","GAME_ADVENTURE","FAMILY_ACTION","Everyone",true,"Dec 18, 2018",1551154503000,"1.0.3","Fix bug done and level updated. Let&#39;s join the Adventure with Bino.","com.superbinogo.jungleboyadventure","https://play.google.com/store/apps/details?id=com.superbinogo.jungleboyadventure&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"YouTube Kids","Best video app for all kids","50,000,000+",50000000,4.4504356,658025,225255,true,false,"Varies with device","Varies with device","5700313618786177705","ENTERTAINMENT","FAMILY_MUSICVIDEO","Everyone",true,"Feb 23, 2015",1551988969000,"Varies with device","By popular request, we&#39;re giving parents more power than ever before. You now have even more control and can hand-pick every channel and video that your child sees.","com.google.android.apps.youtube.kids","https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.kids&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Duolingo: Learn Languages Free","Learn English, Spanish, French, German, Italian and more languages for free.","100,000,000+",100000000,4.719826,7281098,2801714,true,true,"Varies with device","Varies with device","6957685454452609502","EDUCATION","FAMILY_EDUCATION","Everyone",true,"May 29, 2013",1552515355000,"Varies with device","Forgot to do your daily lesson? By subscribing to Duolingo Plus, you can now repair your streak and get 1 free monthly streak repair going forward. Start a free trial to check it out!","com.duolingo","https://play.google.com/store/apps/details?id=com.duolingo&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Toca Kitchen 2","The wildly popular Toca Kitchen is back!","50,000,000+",50000000,4.4837685,1122276,479986,true,false,"56M","4.1 and up","8567646723268777320","GAME_EDUCATIONAL","FAMILY_PRETEND","Everyone",false,"May 25, 2015",1498726078000,"1.2.3-play","Thanks for playing Toca Kitchen 2!<br>In this version, we&#39;ve made some minor tweaks and changes.<br><br>Happy playing!","com.tocaboca.tocakitchen2","https://play.google.com/store/apps/details?id=com.tocaboca.tocakitchen2&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"WildCraft: Animal Sim Online 3D","Explore the wild world with custom animals. Play this free online simulator game","5,000,000+",5000000,4.603787,168692,101309,true,true,"8.0M","4.0.3 and up","6804371481370659921","GAME_SIMULATION","FAMILY_PRETEND","Everyone 10+",true,"Jan 23, 2018",1549727506000,"6.0","Valentine&#39;s Day: clothes, accessories and pets<br>Mystic dragon pets<br>Dogs and cats pets<br>Eagle mystic skins","com.turborocketgames.wildcraft","https://play.google.com/store/apps/details?id=com.turborocketgames.wildcraft&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Minion Rush: Despicable Me Official Game","Run and have fun with the Minions in the official Despicable Me game!","100,000,000+",100000000,4.4531307,10396378,3300210,true,true,"Varies with device","Varies with device","6258770168633898802","GAME_CASUAL","FAMILY_ACTION","Everyone 10+",true,"Jun 13, 2013",1548845999000,"Varies with device","Launch into the Chinese New Year with a new Minion Rush update loaded with characters and more from the Despicable Me movies. <br><br>SPECIAL MISSION #1<br>- Villains are stirring up trouble by trying to hypnotize everyone during the Chinese New Year festivities.<br>- Fight back and light up the night with LANTERN, FIREWORKS and DRAGON MASK collectibles!<br>- Become a real super-secret agent with the new SPY GRU Costume.<br><br>SPECIAL MISSION #2<br>- Stand tall against Vector’s Shrink Ray in another upcoming mission.","com.gameloft.android.ANMP.GloftDMHM","https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDMHM&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"DisneyNOW – Episodes & Live TV","Access the best of Disney TV all in one place, whenever, wherever!","5,000,000+",5000000,4.3386216,96249,45849,true,false,"Varies with device","4.4 and up","Disney","ENTERTAINMENT","FAMILY_MUSICVIDEO","Everyone",true,"May 29, 2014",1551465554000,"Varies with device","We believe the best birthdays are birthdays that are celebrated! Providing your birthdate in DisneyNOW allows us to surprise you on your special day with a fun animation.","com.disney.datg.videoplatforms.android.watchdc","https://play.google.com/store/apps/details?id=com.disney.datg.videoplatforms.android.watchdc&hl=en&gl=us"
